rank,name,nation,startnr,total,tech,pcs,deductions,competition,element,call,base_value,goe,Judge No.1,Judge No.2,Judge No.3,Judge No.4,Judge No.5,Judge No.6,Judge No.7,Judge No.8,final_element_score
15,Michal BREZINA,CZE,24,71.6,34.49,39.11,-2.0,ec2022SEG001OF,CCoSp2,None,2.5,0.61,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.11
16,Maurizio ZANDRON,AUT,23,70.75,35.72,35.03,0.0,ec2022SEG001OF,3A,None,8.0,-2.86,-4.0,-3.0,-4.0,-4.0,-3.0,-3.0,-4.0,-3.0,5.14
16,Maurizio ZANDRON,AUT,23,70.75,35.72,35.03,0.0,ec2022SEG001OF,3Lo,None,4.9,0.91,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.81
16,Maurizio ZANDRON,AUT,23,70.75,35.72,35.03,0.0,ec2022SEG001OF,FSSp4,None,3.0,0.3,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.3
16,Maurizio ZANDRON,AUT,23,70.75,35.72,35.03,0.0,ec2022SEG001OF,3Lz+3T,x,11.11,-1.69,-3.0,-3.0,-3.0,-4.0,-3.0,-2.0,-3.0,-2.0,9.42
16,Maurizio ZANDRON,AUT,23,70.75,35.72,35.03,0.0,ec2022SEG001OF,CCoSp4,None,3.5,0.5,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0
16,Maurizio ZANDRON,AUT,23,70.75,35.72,35.03,0.0,ec2022SEG001OF,StSq4,None,3.9,0.72,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.62
16,Maurizio ZANDRON,AUT,23,70.75,35.72,35.03,0.0,ec2022SEG001OF,CCSp4,None,3.2,0.23,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.43
17,Arlet LEVANDI,EST,18,70.04,34.48,35.56,0.0,ec2022SEG001OF,3Lz+3T,None,10.1,0.25,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,10.35
17,Arlet LEVANDI,EST,18,70.04,34.48,35.56,0.0,ec2022SEG001OF,2A,None,3.3,0.52,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.82
17,Arlet LEVANDI,EST,18,70.04,34.48,35.56,0.0,ec2022SEG001OF,CCoSp4,None,3.5,0.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0
17,Arlet LEVANDI,EST,18,70.04,34.48,35.56,0.0,ec2022SEG001OF,3F!,"('!', 'x')",5.83,-2.12,-4.0,-4.0,-4.0,-5.0,-4.0,-3.0,-4.0,-3.0,3.71
17,Arlet LEVANDI,EST,18,70.04,34.48,35.56,0.0,ec2022SEG001OF,CCSp4,None,3.2,0.73,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.93
17,Arlet LEVANDI,EST,18,70.04,34.48,35.56,0.0,ec2022SEG001OF,FSSp4,None,3.0,0.6,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.6
17,Arlet LEVANDI,EST,18,70.04,34.48,35.56,0.0,ec2022SEG001OF,StSq4,None,3.9,1.17,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.07
18,Konstantin MILYUKOV,BLR,10,69.1,35.77,34.33,-1.0,ec2022SEG001OF,4S<,<,7.76,-3.88,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,3.88
18,Konstantin MILYUKOV,BLR,10,69.1,35.77,34.33,-1.0,ec2022SEG001OF,3A,None,8.0,1.14,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,9.14
18,Konstantin MILYUKOV,BLR,10,69.1,35.77,34.33,-1.0,ec2022SEG001OF,CCoSp3,None,3.0,0.17,1.0,-1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.17
18,Konstantin MILYUKOV,BLR,10,69.1,35.77,34.33,-1.0,ec2022SEG001OF,3Lz+3T,x,11.11,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,11.36
18,Konstantin MILYUKOV,BLR,10,69.1,35.77,34.33,-1.0,ec2022SEG001OF,CSSp4,None,3.0,0.26,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.26
18,Konstantin MILYUKOV,BLR,10,69.1,35.77,34.33,-1.0,ec2022SEG001OF,FCSp2,None,2.3,-0.39,-2.0,-2.0,-3.0,-2.0,-2.0,-1.0,-2.0,-1.0,1.91
18,Konstantin MILYUKOV,BLR,10,69.1,35.77,34.33,-1.0,ec2022SEG001OF,StSq2,None,2.6,0.45,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,3.05
19,Slavik HAYRAPETYAN,ARM,14,67.75,33.79,33.96,0.0,ec2022SEG001OF,3A,None,8.0,1.03,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,9.03
19,Slavik HAYRAPETYAN,ARM,14,67.75,33.79,33.96,0.0,ec2022SEG001OF,3F,None,5.3,0.68,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,5.98
19,Slavik HAYRAPETYAN,ARM,14,67.75,33.79,33.96,0.0,ec2022SEG001OF,FCSp4,None,3.2,0.23,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.43
19,Slavik HAYRAPETYAN,ARM,14,67.75,33.79,33.96,0.0,ec2022SEG001OF,3S+2T,x,6.16,0.18,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.34
19,Slavik HAYRAPETYAN,ARM,14,67.75,33.79,33.96,0.0,ec2022SEG001OF,CSSp4,None,3.0,-0.34,0.0,-2.0,-2.0,-1.0,1.0,-2.0,-1.0,0.0,2.66
19,Slavik HAYRAPETYAN,ARM,14,67.75,33.79,33.96,0.0,ec2022SEG001OF,StSq2,None,2.6,0.41,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.01
19,Slavik HAYRAPETYAN,ARM,14,67.75,33.79,33.96,0.0,ec2022SEG001OF,CCoSp3,None,3.0,0.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.34
20,Valtter VIRTANEN,FIN,16,67.34,33.8,34.54,-1.0,ec2022SEG001OF,3T+3T,None,8.4,0.54,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,8.94
